身高（cm）,体重（kg）,鞋码,性别
180,75,44,男
176,62,41,男
175,61,39,男
180,77,43,
180,78,44,男
186,81,44,男
175,70,43,男
180,67,43,男
180,75,45,男
172,65,42,男
180,60,42,男
180,70,42,男
161,52,38,女
167,55,40,男
171,73,43,男
178,72,42,男
170,63,40,男
165,80,42,男
170,63,40,男
158,46,35,女
168,57,37,女
165,54,36,女
160,45,37,女
162,47,37,女
175,64,43,
160,52,37,女
170,75,42,男
172,56,42,男
172,56,39,女
180,56,41,
175,70,43,男
156,48,36.5,女
175,64,42,男
178,62,42.5,男
169,47.5,41,
160,56,38,女
158,52,37,女
178,65,43,男
169,60,39,女
175,57,41,男
179,73,44,男
170,50,40,男
178,74,42,男
164,57,37,女
161,68,38,女
173,68,38,女
180,65,43,男
